% Fluorescence version 1.0
% plate 1536 = 32x48 (15 times)
% @meta
% Plate=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Repeat=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Barcode=AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01
% Measured height=10.05,10.19,10.11,10.11,10.16,10.13,10.13,10.16,10.11,10.16,10.16,10.19,10.13,10.13,10.16
% Chamber temperature at start=26.49,26.29,26.39,26.29,26.39,26.39,25.97,25.5,25.09,25.58,26.46,26.46,26.26,26.09,26.07
% Chamber temperature at end=26.12,26.29,26.51,26.39,26.42,26.09,26.02,25.21,25.31,25.41,26.29,26.39,26.29,26,26
% Humidity at start=28.6,27.2,27.2,27,27,23.7,24.5,26.9,26.7,26.2,25.8,26.4,27.5,27.4,27.2
% Humidity at end=28.6,27.8,27.7,27.5,27.7,24,25,27.5,27.4,26.7,26.4,27,28.1,28,27.8
% Ambient temperature at start=26.69,26.69,26.79,26.69,26.79,26.59,26.46,25.61,25.58,25.78,26.66,26.76,26.66,26.49,26.37
% Ambient temperature at end=26.81,26.59,26.62,26.59,26.71,26.49,26.22,25.61,25.51,26,26.59,26.59,26.49,26.39,26.2
% Group=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Label=FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1)
% ScanX=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% ScanY=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Measinfo=De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A
% Kinetics=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Measurement date=11/20/2012 2:12:58 AM,11/20/2012 3:17:04 AM,11/20/2012 4:21:15 AM,11/20/2012 5:25:27 AM,11/20/2012 6:29:44 AM,11/20/2012 8:53:17 AM,11/20/2012 10:59:44 AM,11/20/2012 1:03:59 PM,11/20/2012 3:08:16 PM,11/20/2012 5:12:32 PM,11/20/2012 7:16:45 PM,11/20/2012 9:20:59 PM,11/20/2012 11:25:13 PM,11/21/2012 1:29:27 AM,11/21/2012 3:33:41 AM
@relation CP-001073
@attribute 0 integer % 2012-11-20T02:10:18+00:00
@attribute 3846 integer % 2012-11-20T03:14:24+00:00
@attribute 7697 integer % 2012-11-20T04:18:35+00:00
@attribute 11549 integer % 2012-11-20T05:22:47+00:00
@attribute 15407 integer % 2012-11-20T06:27:05+00:00
@attribute 24019 integer % 2012-11-20T08:50:37+00:00
@attribute 31606 integer % 2012-11-20T10:57:04+00:00
@attribute 39061 integer % 2012-11-20T13:01:19+00:00
@attribute 46518 integer % 2012-11-20T15:05:36+00:00
@attribute 53974 integer % 2012-11-20T17:09:52+00:00
@attribute 61427 integer % 2012-11-20T19:14:05+00:00
@attribute 68881 integer % 2012-11-20T21:18:19+00:00
@attribute 76335 integer % 2012-11-20T23:22:33+00:00
@attribute 83789 integer % 2012-11-21T01:26:47+00:00
@attribute 91243 integer % 2012-11-21T03:31:01+00:00
@attribute name string
@data
421,2105,2691,3296,3264,2499,3853,3897,3634,4040,3896,3674,4024,3687,4129,A42
564,1842,2800,3165,3291,2912,3649,4213,3679,4314,4223,4378,4386,4085,4074,A43
598,2362,3165,3432,3256,3170,3797,4160,4065,4418,4351,4210,3880,4177,4399,A44
353,1443,2241,2322,2396,2485,2756,2827,2862,3024,2547,2493,2412,2204,2093,A45
624,2205,2920,3001,3422,3158,3497,3562,4073,3866,3876,3509,3327,2780,3055,A46
224,83,270,218,249,248,272,185,64,252,147,335,434,388,443,A47
225,241,246,301,126,196,244,233,99,175,96,121,105,95,247,A48
662,2121,2582,3190,3368,2626,3815,3845,4244,4100,3833,4188,4429,3956,4371,B1
508,2097,2378,2597,3252,2833,3471,4341,3874,4304,4376,4343,4241,4582,4481,B2
669,1762,2592,3145,3331,2806,3571,3861,3716,4177,3763,3883,3681,4051,4584,B3
615,2142,2851,3013,3443,2911,4218,4262,4131,4524,4145,4292,4430,4365,4569,B4
589,1776,2331,2738,3247,2340,3955,3937,3669,4139,3600,4146,4211,3938,4414,B5
642,2129,2428,3281,3383,3025,3768,4126,3777,4636,3749,4200,4080,4985,4397,B6
235,2065,2628,3315,3549,2735,4244,4090,4702,4774,4906,4607,4423,5403,4688,B7
465,2000,2692,3189,3235,2595,4252,3689,4230,4219,4613,4584,4308,4822,4307,B8
468,1954,2804,2807,3152,3006,3851,3766,3714,4153,4201,4179,4458,4592,4034,B9
495,1801,2355,3382,3275,2898,4103,3784,4626,4575,4468,4467,4163,4521,4972,B10
419,2177,2661,2928,3361,2773,3949,4120,4285,4042,4201,4147,4486,4643,4232,B11
429,1905,2816,2957,3168,2503,3686,4249,4044,4251,3922,4354,4221,4487,4256,B12
464,1841,2638,3164,3442,2902,3870,3529,4522,4811,4747,5083,4379,5057,4509,B13
483,2067,2802,3077,3444,2580,4102,4496,4399,4677,4697,4544,4808,5117,4900,B14
440,1881,2701,2742,3099,2805,3877,4035,4201,4100,4297,4078,4340,5021,5081,B15
403,1861,2904,3028,3109,3245,4101,4154,4281,4372,4372,4466,4488,4710,4667,B16
403,2095,2463,3312,3110,2604,3679,4210,4327,4704,4358,4325,4666,4114,4934,B17
444,1593,2572,2546,2993,2892,3742,4015,4260,4183,4314,4464,4267,4207,4887,B18
659,2007,2877,2825,3189,2486,3695,4273,4494,4575,4191,4248,4755,4634,4751,B19
559,2236,3011,3157,3458,3053,3889,4133,4289,4850,4514,4429,4615,4766,4996,B20
364,2067,2369,2889,3468,3327,3756,4304,4248,4736,4441,4840,4533,5104,4719,B21
282,2057,2735,3301,3751,2550,3941,4038,4245,4708,4586,5056,4657,5160,5041,B22
445,1902,2481,3130,3800,3016,4453,4167,4298,5088,4913,4671,4899,4838,4962,B23
417,2068,2740,3185,3715,3487,4612,4457,4750,4979,4537,5171,5113,5360,4942,B24
495,2378,3070,3827,3936,3828,5229,5299,5238,5422,5328,5468,5420,6000,5254,B25
363,2036,3011,2980,3207,2936,4519,5040,4246,5247,4962,4823,4918,5500,5474,B26
491,2133,3107,3167,3790,3422,4234,4918,5044,5249,5294,5206,5841,5407,5623,B27
427,2139,2708,3162,3477,3382,4164,3966,4433,4946,4704,4703,4185,4958,5058,B28
368,2263,2709,2915,3686,2725,4052,4300,4345,4613,4591,4629,5066,5015,4852,B29
479,1392,1809,2854,3603,3196,4093,4038,4393,4477,4731,4962,4680,4583,4676,B30
646,2008,2938,3497,3939,2708,4311,4331,4788,4625,4374,4766,4373,4830,4688,B31
443,2116,2713,3195,3265,2884,4156,4476,4654,3925,4593,4666,4448,4642,4699,B32
372,1298,2678,2947,3743,2894,4488,4133,4734,4898,5224,4915,5290,4898,5378,B33
415,1697,2831,3335,3487,3112,4296,4557,4442,4397,4604,4958,5174,5270,5140,B34
581,1943,2878,3149,3786,3066,4674,4422,4876,4776,4641,5036,4778,4839,4984,B35
